000002.SZ	万科A
000006.SZ	深振业A
000008.SZ	神州高铁
000011.SZ	深物业A
000014.SZ	沙河股份
000016.SZ	深康佳A
000019.SZ	深粮控股
000021.SZ	深科技
000025.SZ	特力A
000026.SZ	飞亚达
000027.SZ	深圳能源
000028.SZ	国药一致
000029.SZ	深深房A
000030.SZ	富奥股份
000031.SZ	大悦城
000032.SZ	深桑达A
000037.SZ	深南电A
000039.SZ	中集集团
000045.SZ	深纺织A
000049.SZ	德赛电池
000050.SZ	深天马A
000058.SZ	深赛格
000059.SZ	华锦股份
000060.SZ	中金岭南
000061.SZ	农产品
000065.SZ	北方国际
000066.SZ	中国长城
000069.SZ	华侨城A
000070.SZ	特发信息
000088.SZ	盐田港
000089.SZ	深圳机场
000090.SZ	天健集团
000096.SZ	广聚能源
000099.SZ	中信海直
000151.SZ	中成股份
000155.SZ	川能动力
000156.SZ	华数传媒
000157.SZ	中联重科
000158.SZ	常山北明
000166.SZ	申万宏源
000338.SZ	潍柴动力
000400.SZ	许继电气
000401.SZ	冀东水泥
000402.SZ	金融街
000404.SZ	长虹华意
000409.SZ	ST地矿
000410.SZ	*ST沈机
000411.SZ	英特集团
000417.SZ	合肥百货
000419.SZ	通程控股
000420.SZ	吉林化纤
000421.SZ	南京公用
000422.SZ	ST宜化
000423.SZ	东阿阿胶
000425.SZ	徐工机械
000428.SZ	华天酒店
000429.SZ	粤高速A
000430.SZ	张家界
000488.SZ	晨鸣纸业
000498.SZ	山东路桥
000501.SZ	鄂武商A
000503.SZ	国新健康
000504.SZ	ST生物
000505.SZ	京粮控股
000507.SZ	珠海港
000514.SZ	渝开发
000519.SZ	中兵红箭
000521.SZ	长虹美菱
000523.SZ	广州浪奇
000524.SZ	岭南控股
000528.SZ	柳工
000529.SZ	广弘控股
000530.SZ	冰山冷热
000531.SZ	穗恒运A
000532.SZ	华金资本
000537.SZ	广宇发展
000538.SZ	云南白药
000539.SZ	粤电力A
000541.SZ	佛山照明
000543.SZ	皖能电力
000544.SZ	中原环保
000547.SZ	航天发展
000548.SZ	湖南投资
000550.SZ	江铃汽车
000551.SZ	创元科技
000552.SZ	靖远煤电
000553.SZ	安道麦A
000554.SZ	泰山石油
000557.SZ	西部创业
000561.SZ	烽火电子
000563.SZ	陕国投A
000565.SZ	渝三峡A
000568.SZ	泸州老窖
000570.SZ	苏常柴A
000581.SZ	威孚高科
000582.SZ	北部湾港
000589.SZ	贵州轮胎
000591.SZ	太阳能
000596.SZ	古井贡酒
000598.SZ	兴蓉环境
000599.SZ	青岛双星
000600.SZ	建投能源
000605.SZ	渤海股份
000607.SZ	华媒控股
000610.SZ	西安旅游
000617.SZ	中油资本
000619.SZ	海螺型材
000625.SZ	长安汽车
000628.SZ	高新发展
000629.SZ	攀钢钒钛
000630.SZ	铜陵有色
000632.SZ	三木集团
000635.SZ	英力特
000636.SZ	风华高科
000651.SZ	格力电器
000652.SZ	泰达股份
000655.SZ	金岭矿业
000657.SZ	中钨高新
000661.SZ	长春高新
000663.SZ	*ST永林
000665.SZ	湖北广电
000666.SZ	经纬纺机
000680.SZ	山推股份
000682.SZ	东方电子
000685.SZ	中山公用
000686.SZ	东北证券
000692.SZ	惠天热电
000695.SZ	滨海能源
000698.SZ	沈阳化工
000701.SZ	厦门信达
000702.SZ	正虹科技
000705.SZ	浙江震元
000707.SZ	ST双环
000708.SZ	中信特钢
000709.SZ	河钢股份
000713.SZ	丰乐种业
000717.SZ	韶钢松山
000719.SZ	中原传媒
000720.SZ	新能泰山
000721.SZ	西安饮食
000722.SZ	湖南发展
000725.SZ	京东方A
000727.SZ	*ST东科
000728.SZ	国元证券
000729.SZ	燕京啤酒
000731.SZ	四川美丰
000733.SZ	振华科技
000736.SZ	中交地产
000737.SZ	ST南风
000738.SZ	航发控制
000750.SZ	国海证券
000753.SZ	漳州发展
000755.SZ	山西路桥
000756.SZ	新华制药
000757.SZ	浩物股份
000758.SZ	中色股份
000759.SZ	中百集团
000761.SZ	本钢板材
000762.SZ	西藏矿业
000767.SZ	漳泽电力
000768.SZ	中航飞机
000776.SZ	广发证券
000777.SZ	中核科技
000778.SZ	新兴铸管
000779.SZ	甘咨询
000780.SZ	*ST平能
000785.SZ	居然之家
000786.SZ	北新建材
000789.SZ	万年青
000791.SZ	甘肃电投
000792.SZ	*ST盐湖
000797.SZ	中国武夷
000798.SZ	中水渔业
000799.SZ	酒鬼酒
000800.SZ	一汽解放
000801.SZ	四川九洲
000803.SZ	*ST北能
000807.SZ	云铝股份
000809.SZ	铁岭新城
000811.SZ	冰轮环境
000815.SZ	美利云
000819.SZ	岳阳兴长
000822.SZ	山东海化
000823.SZ	超声电子
000825.SZ	太钢不锈
000828.SZ	东莞控股
000829.SZ	天音控股
000830.SZ	鲁西化工
000831.SZ	五矿稀土
000833.SZ	粤桂股份
000837.SZ	*ST秦机
000839.SZ	中信国安
000850.SZ	华茂股份
000851.SZ	高鸿股份
000852.SZ	石化机械
000856.SZ	冀东装备
000858.SZ	五粮液
000859.SZ	国风塑业
000860.SZ	顺鑫农业
000862.SZ	银星能源
000868.SZ	ST安凯
000875.SZ	吉电股份
000877.SZ	天山股份
000878.SZ	云南铜业
000880.SZ	潍柴重机
000881.SZ	中广核技
000883.SZ	湖北能源
000885.SZ	城发环境
000886.SZ	海南高速
000888.SZ	峨眉山A
000897.SZ	津滨发展
000898.SZ	鞍钢股份
000899.SZ	赣能股份
000900.SZ	现代投资
000901.SZ	航天科技
000903.SZ	云内动力
000905.SZ	厦门港务
000906.SZ	浙商中拓
000909.SZ	数源科技
000911.SZ	南宁糖业
000912.SZ	泸天化
000917.SZ	电广传媒
000919.SZ	金陵药业
000920.SZ	南方汇通
000921.SZ	海信家电
000922.SZ	佳电股份
000923.SZ	河钢资源
000927.SZ	*ST夏利
000928.SZ	中钢国际
000930.SZ	中粮科技
000932.SZ	华菱钢铁
000933.SZ	神火股份
000937.SZ	冀中能源
000948.SZ	南天信息
000949.SZ	新乡化纤
000950.SZ	重药控股
000951.SZ	中国重汽
000952.SZ	广济药业
000957.SZ	中通客车
000958.SZ	东方能源
000959.SZ	首钢股份
000960.SZ	锡业股份
000962.SZ	东方钽业
000965.SZ	天保基建
000966.SZ	长源电力
000968.SZ	蓝焰控股
000969.SZ	安泰科技
000972.SZ	ST中基
000973.SZ	佛塑科技
000977.SZ	浪潮信息
000978.SZ	桂林旅游
000983.SZ	西山煤电
000985.SZ	大庆华科
000987.SZ	越秀金控
000993.SZ	闽东电力
000998.SZ	隆平高科
000999.SZ	华润三九
001872.SZ	招商港口
001896.SZ	豫能控股
001965.SZ	招商公路
001979.SZ	招商蛇口
002013.SZ	中航机电
002017.SZ	东信和平
002025.SZ	航天电器
002037.SZ	保利联合
002039.SZ	黔源电力
002040.SZ	南京港
002046.SZ	轴研科技
002051.SZ	中工国际
002053.SZ	云南能投
002057.SZ	中钢天源
002059.SZ	云南旅游
002060.SZ	粤水电
002061.SZ	浙江交科
002066.SZ	瑞泰科技
002068.SZ	黑猫股份
002077.SZ	*ST大港
002080.SZ	中材科技
002087.SZ	新野纺织
002091.SZ	江苏国泰
002092.SZ	中泰化学
002096.SZ	南岭民爆
002100.SZ	天康生物
002101.SZ	广东鸿图
002106.SZ	莱宝高科
002109.SZ	兴化股份
002110.SZ	三钢闽光
002112.SZ	三变科技
002114.SZ	罗平锌电
002116.SZ	中国海诚
002125.SZ	湘潭电化
002128.SZ	露天煤业
002129.SZ	中环股份
002134.SZ	天津普林
002136.SZ	安纳达
002140.SZ	东华科技
002142.SZ	宁波银行
002149.SZ	西部材料
002152.SZ	广电运通
002155.SZ	湖南黄金
002163.SZ	海南发展
002167.SZ	东方锆业
002179.SZ	中航光电
002181.SZ	粤传媒
002183.SZ	怡亚通
002186.SZ	全聚德
002187.SZ	广百股份
002189.SZ	中光学
002190.SZ	成飞集成
002200.SZ	ST云投
002202.SZ	金风科技
002204.SZ	大连重工
002205.SZ	国统股份
002208.SZ	合肥城建
002217.SZ	合力泰
002232.SZ	启明信息
002238.SZ	天威视讯
002243.SZ	通产丽星
002246.SZ	北化股份
002254.SZ	泰和新材
002265.SZ	西仪股份
002267.SZ	陕天然气
002268.SZ	卫士通
002281.SZ	光迅科技
002302.SZ	西部建设
002304.SZ	洋河股份
002305.SZ	南国置业
002307.SZ	北新路桥
002314.SZ	南山控股
002320.SZ	海峡股份
002321.SZ	华英农业
002332.SZ	仙琚制药
002343.SZ	慈文传媒
002344.SZ	海宁皮城
002349.SZ	精华制药
002368.SZ	太极股份
002371.SZ	北方华创
002376.SZ	新北洋
002386.SZ	天原集团
002389.SZ	航天彩虹
002393.SZ	力生制药
002396.SZ	星网锐捷
002400.SZ	省广集团
002401.SZ	中远海科
002405.SZ	四维图新
002415.SZ	海康威视
002419.SZ	天虹股份
002423.SZ	中粮资本
002427.SZ	ST尤夫
002430.SZ	杭氧股份
002431.SZ	棕榈股份
002449.SZ	国星光电
002461.SZ	珠江啤酒
002462.SZ	嘉事堂
002465.SZ	海格通信
002480.SZ	新筑股份
002481.SZ	双塔食品
002500.SZ	山西证券
002507.SZ	涪陵榨菜
002523.SZ	天桥起重
002542.SZ	中化岩土
002544.SZ	杰赛科技
002561.SZ	徐家汇
002564.SZ	天沃科技
002598.SZ	山东章鼓
002608.SZ	江苏国信
002627.SZ	宜昌交运
002643.SZ	万润股份
002644.SZ	佛慈制药
002654.SZ	万润科技
002659.SZ	凯文教育
002669.SZ	康达新材
002672.SZ	东江环保
002673.SZ	西部证券
002678.SZ	珠江钢琴
002679.SZ	福建金森
002682.SZ	龙洲股份
002683.SZ	宏大爆破
002686.SZ	亿利达
002721.SZ	金一文化
002736.SZ	国信证券
002783.SZ	凯龙股份
002786.SZ	银宝山新
002799.SZ	环球印务
002820.SZ	桂发祥
002827.SZ	高争民爆
002839.SZ	张家港行
002880.SZ	卫光生物
002911.SZ	佛燃能源
002912.SZ	中新赛克
002916.SZ	深南电路
002920.SZ	德赛西威
002926.SZ	华西证券
002935.SZ	天奥电子
002936.SZ	郑州银行
002939.SZ	长城证券
002941.SZ	新疆交建
002958.SZ	青农商行
002966.SZ	苏州银行
003816.SZ	中国广核
300034.SZ	钢研高纳
300072.SZ	三聚环保
300073.SZ	当升科技
300080.SZ	易成新能
300088.SZ	长信科技
300105.SZ	龙源技术
300106.SZ	西部牧业
300114.SZ	中航电测
300140.SZ	中环装备
300145.SZ	中金环境
300173.SZ	福能东方
300208.SZ	青岛中程
300212.SZ	易华录
300219.SZ	鸿利智汇
300281.SZ	金明精机
300289.SZ	利德曼
300319.SZ	麦捷科技
300328.SZ	宜安科技
300330.SZ	华虹计通
300342.SZ	天银机电
300368.SZ	汇金股份
300402.SZ	宝色股份
300413.SZ	芒果超媒
300425.SZ	中建环能
300446.SZ	ST乐凯
300455.SZ	康拓红外
300516.SZ	久之洋
300527.SZ	中船应急
300528.SZ	幸福蓝海
300534.SZ	陇神戎发
300557.SZ	理工光科
300579.SZ	数字认证
300675.SZ	建科院
300711.SZ	广哈通信
300722.SZ	新余国科
300747.SZ	锐科激光
300770.SZ	新媒股份
300772.SZ	运达股份
300773.SZ	拉卡拉
300775.SZ	三角防务
300788.SZ	中信出版
600000.SH	浦发银行
600004.SH	白云机场
600006.SH	东风汽车
600008.SH	首创股份
600009.SH	上海机场
600010.SH	包钢股份
600011.SH	华能国际
600012.SH	皖通高速
600015.SH	华夏银行
600017.SH	日照港
600018.SH	上港集团
600019.SH	宝钢股份
600020.SH	中原高速
600021.SH	上海电力
600022.SH	山东钢铁
600023.SH	浙能电力
600025.SH	华能水电
600026.SH	中远海能
600027.SH	华电国际
600028.SH	中国石化
600029.SH	南方航空
600030.SH	中信证券
600033.SH	福建高速
600035.SH	楚天高速
600036.SH	招商银行
600037.SH	歌华有线
600038.SH	中直股份
600039.SH	四川路桥
600048.SH	保利地产
600050.SH	中国联通
600054.SH	黄山旅游
600056.SH	中国医药
600057.SH	厦门象屿
600058.SH	五矿发展
600059.SH	古越龙山
600060.SH	海信视像
600061.SH	国投资本
600062.SH	华润双鹤
600063.SH	皖维高新
600064.SH	南京高科
600068.SH	葛洲坝
600071.SH	凤凰光学
600072.SH	中船科技
600073.SH	上海梅林
600075.SH	新疆天业
600081.SH	东风科技
600082.SH	海泰发展
600084.SH	ST中葡
600085.SH	同仁堂
600093.SH	易见股份
600096.SH	云天化
600097.SH	开创国际
600098.SH	广州发展
600099.SH	林海股份
600101.SH	明星电力
600103.SH	青山纸业
600104.SH	上汽集团
600108.SH	亚盛集团
600111.SH	北方稀土
600113.SH	浙江东日
600115.SH	东方航空
600116.SH	三峡水利
600117.SH	西宁特钢
600118.SH	中国卫星
600119.SH	ST长投
600120.SH	浙江东方
600121.SH	郑州煤电
600123.SH	兰花科创
600125.SH	铁龙物流
600126.SH	杭钢股份
600127.SH	金健米业
600128.SH	弘业股份
600129.SH	太极集团
600131.SH	国网信通
600133.SH	东湖高新
600135.SH	乐凯胶片
600138.SH	中青旅
600141.SH	兴发集团
600148.SH	长春一东
600149.SH	ST坊展
600150.SH	中国船舶
600151.SH	航天机电
600153.SH	建发股份
600156.SH	华升股份
600159.SH	大龙地产
600160.SH	巨化股份
600161.SH	天坛生物
600163.SH	中闽能源
600166.SH	福田汽车
600168.SH	武汉控股
600169.SH	太原重工
600170.SH	上海建工
600171.SH	上海贝岭
600176.SH	中国巨石
600178.SH	东安动力
600183.SH	生益科技
600184.SH	光电股份
600185.SH	格力地产
600188.SH	兖州煤业
600189.SH	吉林森工
600190.SH	锦州港
600192.SH	长城电工
600195.SH	中牧股份
600197.SH	伊力特
600198.SH	大唐电信
600199.SH	金种子酒
600202.SH	哈空调
600203.SH	福日电子
600206.SH	有研新材
600207.SH	安彩高科
600213.SH	亚星客车
600218.SH	全柴动力
600221.SH	海航控股
600222.SH	太龙药业
600223.SH	鲁商发展
600225.SH	*ST松江
600228.SH	ST昌九
600229.SH	城市传媒
600230.SH	沧州大化
600231.SH	凌钢股份
600235.SH	民丰特纸
600236.SH	桂冠电力
600239.SH	云南城投
600241.SH	*ST时万
600248.SH	延长化建
600249.SH	两面针
600250.SH	南纺股份
600251.SH	冠农股份
600252.SH	中恒集团
600258.SH	首旅酒店
600259.SH	广晟有色
600262.SH	北方股份
600266.SH	城建发展
600267.SH	海正药业
600268.SH	国电南自
600269.SH	赣粤高速
