ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rate
002173.SZ,20190912,6.37,6.95,6.31,6.69,6.32,0.37,5.8544,147905.39,98968.525,4.064614573709195
002534.SZ,20190912,6.93,7.19,6.9,6.91,6.72,0.19,2.8274,102952.95,72376.113,5.013144824362358
600615.SH,20190912,6.87,7.22,6.85,7.2,6.88,0.32,4.6512,35294.29,25006.846,5.036285673515982
600729.SH,20190912,27.85,30.49,27.83,30.01,27.74,2.27,8.1831,135561.63,397876.51,4.579234051580283
002306.SZ,20190912,2.74,2.88,2.73,2.87,2.74,0.13,4.7445,91612.35,25669.757,7.265055511498811
002471.SZ,20190912,2.83,3.1,2.82,3.1,2.82,0.28,9.9291,368940.17,112090.304,5.1141736594810805
000809.SZ,20190912,2.42,2.57,2.41,2.55,2.41,0.14,5.8091,200251.88,50030.45,5.515213307995263
001896.SZ,20190912,3.96,4.2,3.88,3.94,3.83,0.11,2.8721,965595.01,386543.98,4.335073507396532
002853.SZ,20190912,19.19,20.25,19.01,19.85,19.19,0.66,3.4393,45706.21,90061.696,4.912153186769726
600185.SH,20190912,4.92,5.19,4.92,5.15,4.96,0.19,3.8306,121730.14,62141.43,5.78087228242803
300419.SZ,20190912,6.59,7.25,6.55,7.25,6.59,0.66,10.0152,233446.71,167860.891,6.435721140366862
000863.SZ,20190912,4.89,5.38,4.85,5.38,4.89,0.49,10.0204,161151.45,83743.565,4.97476675298985
603319.SH,20190912,16.59,17.7,16.58,17.03,16.66,0.37,2.2209,21260.31,36499.478,4.187375424443202
603093.SH,20190912,16.45,16.45,16.45,16.45,14.95,1.5,10.0334,17459.07,28720.17,6.663182239727047
600101.SH,20190912,6.58,6.89,6.57,6.7,6.57,0.13,1.9787,107376.49,72548.05,4.902586109676692
600977.SH,20190912,15.0,15.8,15.0,15.5,14.83,0.67,4.5179,249678.52,385902.601,4.343339471705676
300247.SZ,20190912,3.03,3.31,3.03,3.31,3.01,0.3,9.9668,537860.22,176608.14,6.956018519715996
600803.SH,20190912,11.09,11.35,10.72,11.35,10.32,1.03,9.9806,688356.17,771582.772,14.089600541350206
300333.SZ,20190912,10.82,11.79,10.8,11.79,10.72,1.07,9.9813,784785.78,908814.46,4.419980679693606
300732.SZ,20190912,18.91,20.32,18.9,19.94,18.78,1.16,6.1768,57989.89,114619.23,5.328160747395637
300509.SZ,20190912,8.77,9.78,8.77,9.78,8.89,0.89,10.0112,147015.37,140012.285,4.367126107633949
